Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms_tiles.map] GetMap EPSG:3857 Zoom 5 Image/Format JPG,10,677,443,1582,1582,1646,429,1646,468.48,0.000%,.00422,0.19,0.00,46672.2
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms_tiles.map] GetMap EPSG:3857 Zoom 6 Image/Format JPG,10,482,244,952,952,1912,235,1912,520.90,0.000%,.00422,0.11,0.00,25509.0
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms_tiles.map] GetMap EPSG:3857 Zoom 7 Image/Format JPG,10,424,171,1092,1092,1763,153,1763,523.85,0.000%,.00422,0.06,0.00,13703.2
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms_tiles.map] GetMap EPSG:3857 Zoom 8 Image/Format JPG,10,421,97,1530,1530,1892,95,1892,649.78,0.000%,.00422,0.04,0.00,9275.8
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms_tiles.map] GetMap EPSG:3857 Zoom 9 Image/Format JPG,10,437,161,1412,1412,1676,135,1676,556.41,0.000%,.00422,0.02,0.00,4854.2
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms_tiles.map] GetMap EPSG:3857 Zoom 10 Image/Format JPG,10,1073,159,1555,1555,7987,115,7987,2342.40,0.000%,.00422,0.01,0.00,2042.0
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms_tiles.map] GetMap EPSG:3857 Zoom 11 Image/Format JPG,10,277,156,174,174,1367,138,1367,363.34,0.000%,.00422,0.01,0.00,2042.2
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms_tiles.map] GetMap EPSG:3857 Zoom 12 Image/Format JPG,10,282,156,185,185,1405,128,1405,374.45,0.000%,.00422,0.01,0.00,2042.0
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms_tiles.map] GetMap EPSG:3857 Zoom 13 Image/Format JPG,10,255,156,173,173,1146,136,1146,297.12,0.000%,.00422,0.01,0.00,2042.1
[/cgi-bin/exemplars/dlm1000/wms?map=d:/UNIGIS/Masterarbeit/GIS/MapServer/wms_tiles.map] GetMap EPSG:3857 Zoom 14 Image/Format JPG,10,290,143,168,168,1620,120,1620,443.44,0.000%,.00422,0.01,0.00,2042.0
TOTAL,310,8446,190,49370,56430,57752,95,58526,17716.54,0.000%,.11800,6.93,0.05,60116.5
